endereco,preco,area,quartos,banheiros,garagens,latitude,longitude
"Plano Diretor Norte, Palmas",1000000,112,3,2,4,-10.1701661,-48.3339796
"ARSO 43 Alameda 3, Plano Diretor Sul",625000,150,3,2,2,-10.215773,-48.3340767
"Quadra ARNE 64 Alameda 2, Plano Diretor Norte",315000,115,3,1,3,-10.156889,-48.3134594
"Plano Diretor Sul, Palmas",220000,86,2,2,2,-10.2196474,-48.33896439999999
"Quadra ARSE 92 Alameda 4, Plano Diretor Sul",550000,190,4,2,2,-10.2155869,-48.3460051
"Avenida Tocantins, Setor Bela Vista Taquaralto",198000,83,2,2,2,-10.3501298,-48.2900675
"Quadra ARSO 151 QI 35, Plano Diretor Sul",88000,135,3,2,2,-10.215773,-48.3340767
"Plano Diretor Norte, Palmas",390000,149,4,2,2,-10.1701661,-48.3339796
"Quadra ARSE 101 Alameda 12, Plano Diretor Sul",250000,405,3,2,4,-10.2145542,-48.3470753
"Plano Diretor Sul, Palmas",660000,165,4,3,4,-10.2196474,-48.33896439999999
"Área Rural de Palmas, Area Rural de Palmas",900000,390,5,5,4,,
"Avenida H, Jardim Aureny III Taquaralto",375000,104,3,2,2,-10.3214524,-48.3177883
"Avenida João Pires Querido, Jardim Janaina Taquaralto",190000,85,3,2,2,-10.3316104,-48.3100926
"Jardim Aureny III, Palmas",260000,108,3,2,2,-10.300991,-48.3489356
"Rua P 6, Setor Sul Taquaralto",144430,70,2,2,1,-10.3449852,-48.295229
"Plano Diretor Sul, Palmas",530000,103,2,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",650000,205,3,3,4,-10.2196474,-48.33896439999999
"Setor Morada do Sol Taquaralto, Palmas",220000,175,3,2,5,-10.3573511,-48.2841556
"Plano Diretor Sul, Palmas",160000,60,2,1,1,-10.2196474,-48.33896439999999
"Plano Diretor Norte, Palmas",780000,205,3,2,4,-10.1701661,-48.3339796
"Rua Allan Sampaio, Loteamento Bertaville",260000,102,3,2,2,-10.2929032,-48.3199199
"Plano Diretor Sul, Palmas",520000,118,3,2,2,-10.2196474,-48.33896439999999
"Setor Bela Vista Taquaralto, Palmas",270000,90,3,3,2,-10.3526595,-48.2966073
"Setor Sonia Regina Taquaralto, Palmas",190000,90,2,2,2,-10.354293,-48.30345699999999
"Quadra ARSO 102 Alameda 9, Plano Diretor Sul",350000,10,3,2,3,-10.1857418,-48.3177581
"ARSE 22 Alameda 4, Plano Diretor Sul",850000,220,3,3,2,-10.2155869,-48.3460051
"Jardim Janaina Taquaralto, Palmas",160000,80,2,2,0,-10.3398601,-48.3001313
"Rua 32, Jardim Aureny III",240000,64,3,1,2,-10.3151435,-48.3184282
"Plano Diretor Sul, Palmas",695000,180,3,2,2,-10.2196474,-48.33896439999999
"Avenida Doutor Ricardo Pires de Castro, Jardim Janaina Taquaralto",195000,90,3,2,2,-10.3398601,-48.3001313
"Rua SF 31, Setor Santa Fé 2 Taquaralto",150000,72,2,1,2,-10.331587,-48.2917292
"Taquarussu, Palmas",350000,93,3,2,2,-10.3146451,-48.1591704
"ARNE 13 Alameda 2, Centro",420000,117,3,2,2,,
"ARSO 22 Avenida LO 5, Plano Diretor Sul",630000,154,3,3,4,-10.1973053,-48.3207783
"Setor Bela Vista Taquaralto, Palmas",320000,129,3,2,2,-10.3526595,-48.2966073
"Plano Diretor Sul, Palmas",350000,164,4,3,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",650000,195,3,4,4,-10.2196474,-48.33896439999999
"Rua das Orquídeas, Setor Sonia Regina Taquaralto",260000,180,3,2,0,-10.352041,-48.3010275
"Plano Diretor Expansao Sul, Palmas",540000,120,3,3,3,-10.2654323,-48.3324219
"Quadra ARNE 71 Alameda 4, Plano Diretor Norte",255000,68,2,2,2,-10.1602982,-48.3127103
"Setor Uniao Sul, Palmas",75000,70,2,2,1,-10.2992054,-48.3210843
"Loteamento Bertaville, Palmas",260000,110,3,2,2,-10.2914525,-48.3180932
"Loteamento Bertaville, Palmas",379000,148,3,2,2,-10.2914525,-48.3180932
"Quadra ARNE 14 Alameda 19, Plano Diretor Norte",450000,137,3,2,3,-10.2133613,-48.3450901
"Quadra ARNE 63 Rua 4 A, Plano Diretor Norte",400000,169,3,3,2,-10.1701661,-48.3339796
"Conjunto Maria Rosa Taquaralto, Palmas",120000,125,3,1,2,-10.3411754,-48.283533
"Plano Diretor Sul, Palmas",1200000,196,3,3,2,-10.2196474,-48.33896439999999
"Rua 35, Jardim Aureny III",210000,71,2,2,2,-10.3110559,-48.316999
"Plano Diretor Sul, Palmas",550000,147,3,3,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",460000,213,3,2,3,-10.2196474,-48.33896439999999
"ARSO 61 Alameda 12, Plano Diretor Sul",450000,99,3,2,5,-10.2145542,-48.3470753
"Plano Diretor Expansao Sul, Palmas",470000,132,3,2,0,-10.2654323,-48.3324219
"ARSO 54 Alameda 8, Plano Diretor Sul",680000,163,3,3,2,-10.2169161,-48.3465641
"Centro, Palmas",450000,100,3,2,0,39.5726328,2.651191400000001
"Quadra ARSE 71 Alameda 6, Plano Diretor Sul",435000,158,3,3,2,-10.2563753,-48.3227179
"Plano Diretor Sul, Palmas",310000,60,2,2,1,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",350000,96,3,2,2,-10.2196474,-48.33896439999999
"Avenida Taquari, Jardim Santa Barbara",198000,87,2,2,1,-10.3400394,-48.3032304
"Quadra ARSO 52 Alameda 15, Area Central",320000,99,3,1,2,,
"Rua Fabrício César Freire, Jardim Janaina Taquaralto",195000,83,3,2,1,-10.3398601,-48.3001313
"Loteamento Lago Sul Taquaralto, Palmas",160000,161,2,1,2,-10.346266,-48.2947394
"Avenida Antônio Sampaio, Loteamento Bertaville",250000,105,3,2,1,-10.295753,-48.3194344
"Jardim Taquari, Palmas",150000,360,2,1,3,-10.3458827,-48.3346026
"Plano Diretor Sul, Palmas",450000,120,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",550000,147,3,3,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",650000,150,3,4,3,-10.2196474,-48.33896439999999
"Plano Diretor Norte, Palmas",670000,166,3,3,0,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",450000,205,3,3,3,-10.2196474,-48.33896439999999
"ARSE 22 Alameda 4, Plano Diretor Sul",950000,250,4,3,2,-10.2155869,-48.3460051
"Quadra ARNE 14 Alameda 19, Plano Diretor Norte",450000,137,3,2,3,-10.2133613,-48.3450901
"Plano Diretor Sul, Palmas",400000,110,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",680000,158,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",360000,120,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",1350000,240,4,5,4,-10.2196474,-48.33896439999999
"ARSO 33 Rua 3, Plano Diretor Sul",750000,116,3,3,3,-10.3006128,-48.3200395
"Rua Leonor Alice Alves de Oliveira, Loteamento Lago Sul Taquaralto",180000,72,2,2,1,-15.8414298,-47.8767513
"Rua Porto Velho, Jardim Aureny I",280000,221,2,1,7,-10.3175006,-48.2994258
"Plano Diretor Sul, Palmas",269000,100,2,2,2,-10.2196474,-48.33896439999999
"Loteamento Bertaville, Palmas",490000,150,3,3,4,-10.2914525,-48.3180932
"Plano Diretor Sul, Palmas",360000,120,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",680000,158,3,2,2,-10.2196474,-48.33896439999999
"ARSO 53 Alameda 1, Plano Diretor Sul",694000,145,3,4,2,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",290000,85,3,2,2,-10.2196474,-48.33896439999999
"ARSE 24 Alameda 5, Plano Diretor Sul",700000,230,3,2,3,-10.2457739,-48.3246627
"Plano Diretor Sul, Palmas",350000,146,3,2,2,-10.2196474,-48.33896439999999
"Setor Morada do Sol 2 Taquaralto, Palmas",170000,100,4,1,2,-10.3367409,-48.283533
"Plano Diretor Sul, Palmas",650000,165,3,3,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",269000,150,2,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Norte, Palmas",380000,189,3,2,1,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",300000,178,4,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",280000,85,2,2,2,-10.2196474,-48.33896439999999
"Quadra ARSO 52 Alameda 24, Plano Diretor Sul",530000,103,3,3,2,-10.1904442,-48.320553
"Quadra ARSE 152 QD 17, Plano Diretor Sul",390000,132,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",285000,72,2,2,2,-10.2196474,-48.33896439999999
"Quadra ARNE 74 Rua 4, Plano Diretor Norte",412000,151,3,2,6,-10.1701661,-48.3339796
"Quadra ARSE 141 Alameda 31, Plano Diretor Sul",285000,75,2,2,2,-10.2729964,-48.3400861
"ARSE 22 Alameda 4, Plano Diretor Sul",850000,220,3,3,2,-10.2155869,-48.3460051
"Plano Diretor Norte, Palmas",1600000,265,4,6,3,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",1750000,380,3,2,4,-10.2196474,-48.33896439999999
"Jardim Aureny III, Palmas",198000,88,2,1,2,-10.300991,-48.3489356
"Loteamento Bertaville, Palmas",240000,120,3,2,3,-10.2914525,-48.3180932
"Plano Diretor Norte, Palmas",320000,130,2,3,4,-10.1701661,-48.3339796
"ARSO 63 Alameda 1, Centro",550000,130,3,2,2,-1.3714673,-48.4428378
"Plano Diretor Sul, Palmas",650000,150,3,3,0,-10.2196474,-48.33896439999999
"Jardim Aureny IV, Palmas",89999,75,2,1,4,-10.3046607,-48.3015888
"Centro, Palmas",600000,140,3,3,3,39.5726328,2.651191400000001
"ARNE 12 Alameda 15, Plano Diretor Norte",700000,180,3,2,3,-10.2768685,-48.3376627
"Plano Diretor Sul, Palmas",600000,118,3,1,1,-10.2196474,-48.33896439999999
"ARSO 43 Alameda 9, Plano Diretor Sul",660000,158,3,2,0,-10.1856852,-48.3182371
"Centro, Palmas",2800000,413,5,6,4,39.5726328,2.651191400000001
"Plano Diretor Norte, Palmas",650000,160,3,4,3,-10.1701661,-48.3339796
"ARSO 43 Alameda Circular 2, Plano Diretor Sul",620000,140,3,4,2,-10.215773,-48.3340767
"ARSO 54 Alameda 8, Plano Diretor Sul",590000,132,3,3,2,-10.2169161,-48.3465641
"Plano Diretor Sul, Palmas",280000,106,3,2,0,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",520000,180,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Norte, Palmas",550000,116,3,1,4,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",540000,126,3,2,4,-10.2196474,-48.33896439999999
"Quadra ARNE 41 Alameda 1, Plano Diretor Norte",650000,160,3,3,2,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",450000,160,3,2,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",690000,167,3,3,0,-10.2196474,-48.33896439999999
"Avenida Palmas, Setor Bela Vista Taquaralto",190000,90,2,2,0,-10.3447781,-48.2998294
"ARSO 33 Rua 3, Plano Diretor Sul",750000,116,3,3,3,-10.3006128,-48.3200395
"ARSE 22 Alameda 4, Plano Diretor Sul",850000,220,3,3,2,-10.2155869,-48.3460051
"Plano Diretor Sul, Palmas",450000,135,3,2,5,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",455000,132,3,2,3,-10.2196474,-48.33896439999999
"ARSO 42 Alameda 10, Plano Diretor Sul",720000,167,3,3,2,-10.215773,-48.3340767
"Jardim Aureny III, Palmas",195000,65,2,1,2,-10.300991,-48.3489356
"Rua Jequitibá, Setor Morada do Sol Taquaralto",190000,66,2,2,1,-10.3441385,-48.2875527
"ARSO 41 Alameda 25, Plano Diretor Sul",630000,163,3,5,2,-10.2086176,-48.3430196
"Plano Diretor Sul, Palmas",530000,225,4,4,2,-10.2196474,-48.33896439999999
"ACNO 1 Avenida LO 2, Plano Diretor Norte",450000,160,3,3,2,-10.1537659,-48.329711
"Plano Diretor Sul, Palmas",250000,130,4,2,3,-10.2196474,-48.33896439999999
"ARSO 53 Alameda 9, Plano Diretor Sul",695000,126,3,3,3,-10.1856872,-48.3181641
"Loteamento Bertaville, Palmas",500000,150,3,2,2,-10.2914525,-48.3180932
"Avenida Palmas, Setor Sul Taquaralto",190000,90,2,2,1,-10.3442674,-48.2996283
"Plano Diretor Sul, Palmas",629000,249,3,4,2,-10.2196474,-48.33896439999999
"Quadra ARSE 141 Alameda 6, Plano Diretor Sul",350000,96,3,2,2,-10.2564921,-48.3225976
"Plano Diretor Sul, Palmas",1000000,900,6,9,6,-10.2196474,-48.33896439999999
"Loteamento Palmas Sul, Palmas",240000,10,2,1,0,-10.3429775,-48.30015179999999
"Plano Diretor Sul, Palmas",290000,59,2,2,1,-10.2196474,-48.33896439999999
"Quadra ARSO 111 Alameda 24, Plano Diretor Sul",400000,102,3,2,2,-10.1906574,-48.3206938
"ARSO 22 Avenida LO 5, Plano Diretor Sul",580000,138,3,2,2,-10.1973053,-48.3207783
"ARSO 54 Alameda 8, Plano Diretor Sul",680000,163,3,3,2,-10.2169161,-48.3465641
"ARSO 53 Alameda 29, Plano Diretor Sul",1250000,210,3,3,2,-10.2731979,-48.3412959
"ARNE 13 Alameda 2, Centro",420000,117,3,2,2,,
"Avenida Palmas, Setor Bela Vista Taquaralto",190000,90,2,2,0,-10.3447781,-48.2998294
"Plano Diretor Sul, Palmas",1400000,212,3,5,0,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",450000,160,3,2,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",590000,132,3,1,2,-10.2196474,-48.33896439999999
"Rua 21, Jardim Aureny III",185000,73,2,2,1,-10.300991,-48.3489356
"Quadra ARSE 41 Alameda 13, Plano Diretor Sul",1900000,303,4,6,3,-10.2143318,-48.3460029
"Plano Diretor Norte, Palmas",550000,249,4,4,2,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",615000,109,3,1,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",300000,98,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",600000,125,3,3,2,-10.2196474,-48.33896439999999
"Quadra ARSO 52 Alameda 37, Plano Diretor Sul",680000,158,3,3,2,-10.2123142,-48.347996
"Plano Diretor Sul, Palmas",600000,125,3,2,0,-10.2196474,-48.33896439999999
"Quadra ARSE 82 Alameda 2, Plano Diretor Sul",350000,164,4,3,2,-10.2154065,-48.3452303
"Plano Diretor Sul, Palmas",340000,89,3,2,2,-10.2196474,-48.33896439999999
"Quadra ARSO 52 Alameda 38, Plano Diretor Sul",549320,110,3,2,2,-10.216539,-48.3462107
"Plano Diretor Sul, Palmas",590000,140,3,3,0,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",340000,90,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",360000,92,3,2,3,-10.2196474,-48.33896439999999
"ARSE 14 Alameda 5, Plano Diretor Sul",400000,108,3,4,2,-10.2459146,-48.3256023
"Plano Diretor Sul, Palmas",250000,127,3,2,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",400000,102,3,1,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",325000,130,3,2,1,-10.2196474,-48.33896439999999
"Quadra ARSO 101 Alameda 18, Plano Diretor Sul",600000,387,3,2,4,-10.2490428,-48.33944880000001
"Rua Leonor Alice Alves de Oliveira, Loteamento Lago Sul Taquaralto",180000,72,2,2,1,-15.8414298,-47.8767513
"ARSO 43 Alameda 3, Plano Diretor Sul",625000,150,3,2,2,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",360000,120,3,2,2,-10.2196474,-48.33896439999999
"Loteamento Bertaville, Palmas",500000,150,3,2,2,-10.2914525,-48.3180932
"Plano Diretor Sul, Palmas",800000,250,3,4,4,-10.2196474,-48.33896439999999
"Quadra ARSO 52 Alameda 15, Plano Diretor Sul",530000,103,3,2,0,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",270000,80,2,2,2,-10.2196474,-48.33896439999999
"Quadra ARNO 71 Alameda 1, Plano Diretor Norte",280000,130,3,2,3,-10.1701661,-48.3339796
"Avenida Palmas, Setor Sul Taquaralto",198000,87,1,2,2,-10.3442674,-48.2996283
"Plano Diretor Sul, Palmas",420000,10,3,3,0,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",460000,250,4,4,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",530000,130,3,1,2,-10.2196474,-48.33896439999999
"Rua 11, Centro Taquaralto",200000,80,2,2,2,-10.3380153,-48.2973133
"Plano Diretor Sul, Palmas",280000,73,2,2,2,-10.2196474,-48.33896439999999
"Jardim Aureny III, Palmas",155000,80,2,2,2,-10.300991,-48.3489356
"ARSE 122 Alameda 26, Plano Diretor Sul",235000,83,2,2,2,-10.2173052,-48.3489393
"ARSO 42 Alameda 13, Plano Diretor Sul",290000,66,2,2,1,-10.2143318,-48.3460029
